Factor,Index Trait,Outcome,Factor Beta,Factor SE,Factor P,Trait Beta,Trait SE,Trait P,Trait F-stat,Factor F-stat
1,eosinophil #,type-1-diabetes,0.0010335608593869687,1.8415598074448226e-4,2.2921346954975486e-8,0.0019670483383885536,3.5048126352482456e-4,2.2921346954975486e-8,9.613893080310577,9.613893080310577
2,neutrophil #,type-1-diabetes,-1.9418871384370532e-4,-1.774851318833854e-4,0.2740458453784413,3.741548561064848e-4,3.419710788872973e-4,0.2740458453784413,9.789665908353694,9.789665908353694
3,lymphocyte #,type-1-diabetes,-5.220995725413131e-4,2.1665913864699155e-4,0.016057980910813677,-3.82584928899882e-4,3.5401242676883583e-4,0.27996461998679856,12.43458190323987,12.43458190323987
4,monocyte #,type-1-diabetes,3.838108308636403e-5,1.4993309983196644e-4,0.7979880790229513,-8.069717150087847e-4,3.3487442986261803e-4,0.016057980910813677,11.183070604582465,11.183070604582465
5,basophil #,type-1-diabetes,-2.6644570974619836e-4,3.019058948926415e-4,0.37759473801530663,-2.5818823406879225e-4,2.3705442812642916e-4,0.2762266587469531,22.16755106324111,22.16755106324111
6,platelet #,type-1-diabetes,3.539092692883057e-4,1.834059047192875e-4,0.053800563761534186,-1.943004029582765e-4,3.755484449729541e-4,0.6049533994768774,8.781442262101384,8.781442262101384
7,mean platelet volume,type-1-diabetes,-1.6135492936572367e-4,-2.1305341332310423e-4,0.4489381793345838,6.494493633585333e-5,2.537029922087761e-4,0.7979880790229513,19.729123175734287,19.729123175734287
8,platelet dist width,type-1-diabetes,5.008573451172096e-4,-4.004172935951516e-4,0.21114915215152502,5.328443898032206e-4,2.761352014966441e-4,0.053800563761534186,15.578806560252318,15.578806560252318
9,reticulocyte #,type-1-diabetes,2.0721442314664655e-4,-1.9173907610679902e-4,0.27996461998679856,-4.7791700274143616e-4,5.415210495770459e-4,0.37759473801530663,4.497237463329957,4.497237463329957
10,mean corpuscular hemoglobin,type-1-diabetes,-1.5982750983434103e-4,1.4674494784512926e-4,0.2762266587469531,1.906624984825596e-4,2.5175119380672364e-4,0.4489381793345838,20.593419326944808,20.593419326944808
11,hematocrit,type-1-diabetes,1.1189543789760666e-4,-2.1627416650822723e-4,0.6049533994768774,-4.53459778298772e-4,4.5116408624131297e-4,0.31498370989862107,6.85062564863475,6.85062564863475
12,mean corpuscular hemoglobin conc,type-1-diabetes,3.1064859771723916e-4,-3.09075903616087e-4,0.31498370989862107,2.046317342519731e-4,5.08372834365551e-4,0.6873449870544046,5.380829716209904,5.380829716209904
13,immature reticulocyte frac,type-1-diabetes,1.692775987949195e-4,4.205414815475428e-4,0.6873449870544046,-1.6609937189923e-4,3.6920770275953e-4,0.6528484516718271,10.547995467760172,10.547995467760172
14,red cell dist width,type-1-diabetes,-1.6609937189919762e-4,3.6920770275945797e-4,0.6528484516718271,-5.009975606985684e-4,4.005293908702638e-4,0.21114915215152502,8.10158799004988,8.10158799004988
1,eosinophil #,asthma,0.0011254753303065609,9.189149957569557e-5,7.284777279552392e-33,0.0021419777638347574,1.7488570693322778e-4,7.284777279552392e-33,10.25434792588712,10.25434792588712
2,neutrophil #,asthma,1.865598343081295e-5,-8.66333952672339e-5,0.8295299507180334,-3.594558436438736e-5,1.669216758205479e-4,0.8295299507180334,10.525525004973048,10.525525004973048
3,lymphocyte #,asthma,-4.152743822259054e-4,1.0560198876424976e-4,8.812857309985543e-5,4.849428820707963e-4,1.7642919169437324e-4,0.006059624187997943,12.89132227300482,12.89132227300482
4,monocyte #,asthma,-1.8080313960076516e-4,7.322200727600209e-5,0.013656422086001865,-6.418597103860591e-4,1.632213900628732e-4,8.812857309985543e-5,12.22420211914682,12.22420211914682
5,basophil #,asthma,3.1229036438970505e-4,1.500115232204694e-4,0.037541178855633094,-1.2451505765106403e-4,1.1627667707444276e-4,0.2844176553949913,23.8458390730978,23.8458390730978
6,platelet #,asthma,-2.0579130587469166e-4,9.029611946477477e-5,0.022810263506800633,4.5919644531353874e-4,1.848598697766748e-4,0.013104949247313735,9.492005336520961,9.492005336520961
7,mean platelet volume,asthma,-1.7692149455981993e-4,-1.0497775226521538e-4,0.09214523168524268,-3.059384323332413e-4,1.2389954161071696e-4,0.013656422086001865,20.045499125455322,20.045499125455322
8,platelet dist width,asthma,-3.5082745523739694e-4,-1.945760330058266e-4,0.07159399929936502,-3.098385725418222e-4,1.359494787309784e-4,0.022810263506800633,16.315370701890146,16.315370701890146
9,reticulocyte #,asthma,-2.62653209723451e-4,-9.555701341478e-5,0.006059624187997943,5.601474126805235e-4,2.6907191571031477e-4,0.037541178855633094,4.632385682497964,4.632385682497964
10,mean corpuscular hemoglobin,asthma,-7.707915766582348e-5,7.197931313813619e-5,0.2844176553949913,2.0905648386847195e-4,1.2404529945659636e-4,0.09214523168524268,20.993286095153245,20.993286095153245
11,hematocrit,asthma,-2.644461182122017e-4,-1.0645873998932158e-4,0.013104949247313735,3.5486561399308885e-4,2.242483539354625e-4,0.11376506516628099,7.19073386788432,7.19073386788432
12,mean corpuscular hemoglobin conc,asthma,-2.4310536598989616e-4,-1.5362429045372118e-4,0.11376506516628099,-2.7691587050020027e-4,2.583334604198999e-4,0.28393226386374226,5.450613392312849,5.450613392312849
